"link","enlace"
"NvidiaCardFrom.MemClock","Por lo general, este valor es el doble de lo que ves en AfterBurner. Por ejemplo, si en Windows es + 800Mhz, aquí debes escribir 1600."
"NvidiaCardFrom.OffLED","Apaguar los LED (puede que no funcionen en algunas tarjetas)"
"OhGodAnETHlargementPill","OhGodAnETHlargementPill"
"ValueCardSeparatedSpace.","Puede especificar un valor para todas las tarjetas o una lista de valores para cada tarjeta separada por espacio."
"one value for all GPUs.","un valor para todas las GPU."
"means GPU0 = none, GPU1 = 100, etc.","significa GPU0 = ninguno, GPU1 = 100, etc."
"Configure","Configurar"
"Overclocking Settings","Configuración de overclocking"
"OverclockingProfileModal.Text","Elige perfiles de overclocking para"
"ApplyOverclockProfile","ВїDesea aplicar el perfil actual de Overclocking?"
"Invalid Shares","Acciones no válidas"
"Show all payments","Mostrar todos los pagos"
"No payments yet","Sin pagos todavía"
"Pool address","DirecciГіn de la piscina"
"Select pool address","Dirección de la piscina"
"Add New Pool","Agregar nueva piscina"
"Enter email","Ingresar correo electrónico"
"Select Pool Server","Seleccionar servidor de piscina"
"Selected Pool Servers","Servidores de piscina seleccionados"
"on","encendido"
"rights","derechos"
"Workers","Mineros"
"Balance","Saldo"
"Shared with me","Compartido conmigo"
"Timezone","Zona horaria"
"Create New Farm","Crear nueva granja"
"Select timezone","Seleccionar zona horaria"
"Input farm name","Ingresar el nombre de la granja"
"Mem State","Estado memoria"
"Core Voltage","Voltaje del nГєcleo"
"Core State","Estado central"
"RadeonCardFrom.fanSpeed2","en anulación de configuración claymore.-"
"RadeonCardFrom.fanSpeed1","Puedes configurar la velocidad del ventilador pero el minero (claymore) lo controlará de todos modos. Debes desactivar el control del ventilador en la configuración de miner para que esto funcione. Poner"
"RadeonCardFrom.memState.text3","Debe usar este parámetro con la configuración 'Reloj Memoria'"
"RadeonCardFrom.memState.text2","Tarjetas RX se sabe que tienen 1 o 2 estados de memoria (en realidad 3 incluyendo 0 estado inactivo). Por defecto, se seleccionará el estado más alto. Pero se sabe que algunas tarjetas raras no soportan bajor voltios en el estado más alto y requieren seleccionar una más bajo. Por ejemplo, el valor más alto es 2 y para bajor voltios debe establecer el estado 1."
"RadeonCardFrom.memState.text1","Este es un parámetro muy avanzado. Prueba esto si hay problemas con bajor voltios. Si funciona, no toques esto."
"RadeonCardFrom.coreVddc.text5","desde la tabla VBIOS."
"RadeonCardFrom.coreVddc.text4","que significa mV o valores como"
"RadeonCardFrom.coreVddc.text3","Puede establecer valores como"
"RadeonCardFrom.coreVddc.text2","el estado se usará para configurar el voltaje."
"RadeonCardFrom.coreVddc.text1","Esto es obligatorio si intentas bajor voltios de tu tarjeta. Y DEBES establecer 'Estado central' o por defecto"
"RadeonCardFrom.coreState.text4.","Baje el valor a bajor voltios."
"Default is","El valor predeterminado es"
"RadeonCardFrom.coreState.text2","DPM (Administración de energía Dinámico)"
"RadeonCardFrom.coreState.text1","Esto es necesario si intentas bajor voltios de su tarjeta. Debes usar este parámetro con la configuración 'Reloj de núcleo' y 'Voltaje del núcleo'."
"RadeonCardFrom.coreClock.text2","If 'Core State' is unset, then the default, Si 'Estado central' no está configurado, entonces el valor predeterminado"
"RadeonCardFrom.coreClock.text1","Establecer el reloj central aquГ­, un buen valor estar cerca"
"RadeonCardFrom.coreClock.text3","estado se utilizará para configurar el reloj."
"Refill","Referido"
"balance","saldo"
"per month","por mes"
"Recommended payment is","El pago recomendado es"
"From balance","Del saldo"
"With Coinpayment","Con Coinpayments"
"Console","Consola"
"Execute command","Ejecutar comando"
"Wrong command","Comando incorrecto"
"Remove all messages?","¿Eliminar todos los mensajes?"
"EDIT","EDITAR"
"Overview","Descripción general"
"Cards","Tarjetas"
"CONSOLE","CONSOLA"
"Offline","Sin conexión"
"Booted","Arranque"
"Uptime","Tiempo de actividad"
"TRANSFER","TRANSFERIR"
"Monitoring","Monitor"
"Reboot","Reiniciar"
"Miner Config","Configurar minero"
"Rocket","Cohete"
"Upgrade","Actualizar"
"Shutdown","Apagar"
"OpenVPN configuration","Configuración de OpenVPN"
"Power actions","Acciones de energia"
"Server URL","URL del servidor"
"Edit tags","Editar etiquetas"
"Miner actions","Acciones del minero"
"Teleconsole Start","Inicio de la Teleconsola"
"Teleconsole Stop","Parada de la Teleconsola"
"Teleconsole Restart","Reinicio de la Teleconsole"
"Hashrate watchdog","Perro guardián Hashrate"
"Run command","Ejecutar comando"
"Miner Log","Registro de Minero"
"Stop Miner","Detener Minero"
"Restart Miner","Reiniciar Minero"
"Remote access","Acceso remoto"
"more messages","más mensajes"
"Add","Añadir"
"Password","Contraseña"
"Description","Descripción"
"Add New Worker","Agregar nuevo​ minero"
"RigForm.EnterWorkerName","Ingrese el nombre del minero"
"RigForm.EnterWorkerPassword","Ingrese la contraseña del minero"
"RigForm.EnterWorkerDescription","Ingrese la descripción del minero"
"rejected","rechazado"
"shared","compartido"
"Upgrade to","Actualizar a"
"New features","Nuevas características"
"New version","Nueva versión"
"Current version","Versión actual"
"SaveOCModal","SaveOCModal"
"Enter Name","Ingrese nombre"
"SaveOverclockingAsTemplate.Name","Nombre de perfil de overclocking"
"SaveOverclockingAsTemplate.Title","Guardar Overclocking como Plantilla"
"Set","Modificar"
"Default","Defecto"
"Choose URL","Elige URL"
"ServerUrlFrom.Help3","¡Ten cuidado! Siempre prepare el acceso físico o de red (SSH) al minero antes de cambiar esta configuración. Si el minero no puede conectarse a la URL seleccionada, se desconectará de {os}. La URL se guarda en /hive-config/rig.conf donde puede editarlo manualmente."
"ServerUrlFrom.Help2","Si lo deja como 'Predeterminado', {os} OS puede decidir dónde conectarse. Generalmente será el primero en la lista."
"ServerUrlFrom.Help1","Si tiene problemas para conectar al servidor colmena de su minero y tiene a menudo eventos sin conexión / en línea falsos, puede intentar elegir una URL de conexión de servidor diferente. A veces hay un problema con el firewall (el suyo o el ISP) y el puerto de conmutación ayudaría."
"Mirror Select","Seleccionar servidor"
"Stats","Estadísticas"
"gpu","gpu"
"for 24 hours","durante 24 horas"
"View all","Ver todo"
"day","día"
"Day left","Día restante"
"Days left","Días restantes"
"New Tag Name","Nuevo nombre de etiqueta"
"Add Tag","Agregar Etiqueta"
"Add tag","Agregar etiqueta"
"Explore transaction","Explorar transacción"
"Referrals.TransactionsNotFound","Sin transacciones todavía"
"Upload VBIOS","Cargar VBIOS"
"VBIOS ROM file","Archivo ROM VBIOS"
"UploadingBiosFromLabel","Forzar el flasheo independientemente o comprobación de seguridad"
"Upload","Subir"
"VPN.ClientConf","client.conf (con los certificados)"
"Login (auth-user-pass)","Iniciar sesión (auth-user-pass)"
"Password (auth-user-pass)","Contraseña (auth-user-pass)"
"Address","Dirección"
"Enter wallet address","Ingrese la dirección del monedero"
"Enter wallet name","Ingrese el nombre del monedero"
"Accepted shares ratio","Proporción de acciones aceptadas"
"Invalid shares","Acciones inválidas"
"High Temperature","Alta temperatura"
"Low hashrate","Bajo hashrate"
"cores","núcleos"
"Hive OS Version:","Versión {os}"
"Power:","EnergГ­a:"
"Free disk space:","Espacio libre en disco:"
"Restart","Reiniciar"
"Stop","Detener"
"Shut Down","Apagar"
"Overclocking templates","Perfiles de overclocking"
"WorkerActions.Upgrade","¿Desea actualizar los mineros a la última versión del sistema operativo?"
"WorkerMiner.Tooltip","Aceptado Rechazado Inválido, no aceptado"
"NoStatsFoundSoFar","No se encontraron estadГ­sticas hasta el momento"
"Delete","Borrar"
"You can","Usted puede"
"create one","crea uno"
"FarmsAccess.NoUsersFound","No se encontraron usuarios hasta el momento."
"Owner","Dueño"
"Access Levels","Niveles de acceso"
"User name","Nombre de usuario"
"UserEditForm.GrantAccessProject","Conceder acceso al proyecto"
"Grant access","Autorizará el acceso"
"Access Levels...","Niveles de acceso..."
"User login","Inicio de sesiГіn de usuario"
"ProjectAccess.TrustUserDescription","Puede otorgar acceso de control a su granja a otros usuarios; por ejemplo, podría otorgar privilegios de acceso total a sus administradores para que administren todo en su lugar. O puede otorgarle a su personal técnico los privilegios de acceso de Monitor de solo lectura que realizan un mantenimiento y monitoreo sencillos y más."
"Profile","Perfil"
"Telegram","Telegram"
"here","aquí"
"Bio","Bio"
"Update Info","Actualizar informaciГіn"
"Company Info","Información de la compañía"
"Skype","Skype"
"Phone","Teléfono"
"API docs are","Los documentos API son"
"Account.SetupTFAuth","Configurar la autenticación de dos factores"
"Account.TFAuth","Two-factor Authentication"
"Update Password","Actualiza contraseña"
"Confirm New Password","Confirmar nueva contraseña"
"Account.PasswordError","La contraseña debe tener 8 o más caracteres."
"New Password","Nueva contraseña"
"Current Password","Contraseña actual"
"Full Name","Nombre completo"
"Account.ProfileSettings.Header","ConfiguraciГіn del perfil"
"Language","Idioma"
"Account.BIODescription1","Información adicional sobre usted."
"Account.BIODescription2","Es opcional."
"Account.AuthenticationDecstiption","Habilite para darle a su cuenta de {os} una capa adicional de seguridad."
"Account.PasswordDescription","Cambiar tu contraseña, también restablecerá tu clave API."
"Account.ProfileDescription","Su inicio de sesión es su identidad en {os}, se utiliza para iniciar sesión."
"6 digits code","Código de 6 dígitos"
"Enable 2FA","Habilitar 2FA"
"Turn off 2FA","Apagar 2FA"
"Account.AuthenticationTokenButton","Generar nuevo API-token"
"Authentication Tokens","Autenticación Tokens"
"Account.AuthenticationToken","Allí puedes gestionar tus fichas api personales. Puede generar uno nuevo para su tercera aplicación lateral. O elimine la sesión abierta"
"Personal Tokens","Personal Tokens"
"Session Tokens","Sesión Tokens"
"Authy","Autenticación"
"Account.AuthenticationTwoFactor3","se puede instalar en varios dispositivos, incluido el escritorio."
"Account.AuthenticationTwoFactor4","Escanee el código con su cámara e ingrese el siguiente código."
"Farm Activity Feed","Actividad de la Granja"
"Pay","Pago"
"Payments","Pagos"
"Amount to refill, $","Cantidad para referidos, $"
"Your Current Balance","Su saldo actual"
"Payments History","Historial de pagos"
"Farms Balance","Saldo de la granjas"
"Free","Gratis"
"Invoice","Factura"
"days left","Días restantes"
"Disable Paid Features","Deshabilitar características pagos"
"Enable Paid Features","Habilitar funciones de pagos"
"Log in","Iniciar sesión"
"Return to","Volver como"
"Reset password","Restablecer la contraseña"
"Type email to recover password","Escriba el correo electrónico para recuperar la contraseña"
"Error.Text","Lo sentimos, ocurrió un error crítico en esta página"
"Just one step!","¡Solo un paso!"
"create wallet","Crear cartera"
"first!","¡primero!"
"Farm.FarmsFs.Description","Para administrar Hojas de vuelo necesita"
"FarmOC.EmptyMessage","No se encontraron perfiles de overclocking hasta ahora. Usted puede"
"Add OC Template","Agregar perfil OC"
"Incoming farms","Granjas entrantes-"
"Log in your account","Inicie sesión en su cuenta"
"2FA code (if enabled)","código 2FA (si está habilitado)"
"Remember me","Recuérdame"
"Forgot password?","¿Olvidó su contraseña?"
"Register","Registro"
"Don't have account yet?","¿Aún no tiene una cuenta?"
"Referral Link","Enlace de referido"
"Referral.ReferralLink1","Pon este enlace en todos los lugar que puedas y la gente lo presionara, si siguen este enlace. Después de que se registren, obtienes"
"Your referral","Sus Referidos"
"Copy to Clipboard","Copiar al portapapeles"
"Promo Code","Código de promoción"
"Referral.PromoCodeDescription1","A veces no puedes dar tu enlace a las personas. Aquí puedes generar tu código de promoción único como 'MIKESHIVE' o 'SAVEBUCKSFORLAMBO'. Si eres vendedor de hardware o tienda de servicio o cualquier otro sin conexión esto puede funcionar para usted. Para motivar a los clientes a registrarse con su código, {os} depositará"
"Referral.PromoCodeDescription2","a su cuenta una vez que lo hacen"
"ETH Wallet Address","Dirección de cartera ETH"
"Referral Balance","Saldo de referido"
"Deposit to Hive","Saldo de {os}"
"ReferralTransactionsHistory","Historial de transacciones de referido"
"Referral.BalanceDescription2","Especifique su dirección de cartera ETH para pagos automáticos al principio de cada mes."
"Referral.BalanceDescription1","mineros unidos por su invitación."
"Referral.BalanceDescription3","Las retiradas de remisión se realizan una vez al mes. Se le pagará si ha establecido la dirección aquí."
"Referral.BalanceDescription4","El pago mínimo es de 25$ en total."
"Referral.BalanceDescription5",""
"Referral.PromoCodeYoungAccount","Su cuenta es muy reciente para usar códigos promocionales."
"Referral.BalanceDescription","Aún no tiene recompensas de referidos."
"Passwords do not match","Las contraseñas no coinciden"
"Create new account","Crear nueva cuenta"
"Confirm password","Confirmar contraseña"
"Register.CheckboxLabelText","Al hacer clic en Registrarse, usted acepta"
"Terms","Términos"
"Register.HaveAccount","¿Ya tienes cuenta?"
"RestorePassword.Message","Contraseña de envío correcta, verifique su correo electrónico"
"Remove all","Eliminar todo"
"Id","Id"
"Activity Feed","Monitor de actividad"
"Build Log","Iniciar registro"
"Other","Otro"
"Flight Sheet","Hoja de vuelo"
"Flight Sheets","Hojas de vuelo"
"FlightSheets.Message","Para comenzar a minar, seleccione Hoja de Vuelo!"
"StartConfOverclocking","Iniciar configuración de overclocking"
"Flash VBIOS","Flash VBIOS"
"OverclocingSettingsFoundSoFar","No se encontraron configuraciones de overclocing hasta ahora."
"Load From Template","Cargar desde plantilla"
"Save As Template","Guardar como plantilla"
"Reset All","Restablecer todo"
"Configure New Algo","Configurar nuevo Algo"
"Transfer","Transferencia"
"Advanced Settings","Configuración avanzada"
"Confirmation required","Se requiere confirmación"
"Settings.RemoveProject2","¡El proyecto eliminado NO PUEDE ser restaurado! ¿Estás ABSOLUTAMENTE seguro?"
"Settings.RemoveProject3","Esta acción puede conducir a la pérdida de datos. Para evitar acciones accidentales, le pedimos que confirme su intención"
"Please type","Por favor escriba"
"Settings.RemoveProject4","para continuar o cerrar este modo para cancelar-."
"Settings.RemoveProject1","Vas a eliminar minero"
"Remove Worker","Eliminar minero"
"Settings.RemovedWorker","¡El minero eliminado no se puede restaurar!"
"Update Worker","Actualizar Minero"
"Worker Name","Nombre del Minero"
"Worker Settings","ConfiguraciГіn del Minero"
"OpenVPN Config","ConfiguraciГіn de OpenVPN"
"Are you sure?","¿Estás seguro?"
"Worker Password","Contraseña del Minero"
"Settings.ChangePass1","Si cambia la contraseña solo en la base de datos y hay un minero activo usándola, el minero se desconectará."
"Settings.ChangePass2","Cambie la contraseña en DB e intente cambiarla en el minero. Intentará cambiar la contraseña en el minero en línea. La contraseña se cambiará solo después de la notificación del minero."
"Settings.ChangePass3","Cambiar la contraseña en DB solamente. El minero con la contraseña actual estará fuera de línea."
"Transfer Worker","Transferir Minero"
"Settings.WalletTransferFarm","Mover minero a otra granja"
"Settings.RemoveProject5","¿Quieres eliminar minero?"
"Settings.WalletTransfer","La cartera no se transfiere con el minero. Después de realizar esta trasferencia, aplique la carteras de la otra granja."
"Settings.ConfirmTransferWorker","¿Quieres transferir el minero?"
"Select farm","Seleccionar granja"
"Settings.TransferWorker","La hoja de vuelo no se copia con el minero. Por favor, aplique la hoja de vuelo en una nueva granja después del traspaso."
"Transfer Worker?","¿Transferir Minero?"
"Tuning","Tuning"
"Worker","Minero"
"Online","En línea"
"With Errors","Con errores"
"Hide filters","Ocultar filtros"
"Show filters","Mostrar filtros"
"with","con"
"Name changed","Nombre cambiado"
"Farm settings","ConfiguraciГіn de la granja"
"Settings.MargeProject","Solo puede fusionar el proyecto con otro que administre."
"Merge Project","Unir Proyecto"
"Transfer Project","Transferir Proyecto"
"Type project name","Escriba el nombre del proyecto"
"Select user login","Seleccionar usuario de inicio de sesión"
"Remove Project","Eliminar proyecto"
"Farm.Setting.Text1","Vas a eliminar la granja"
"Type Project Name","Escriba el nombre del proyecto"
"You are going to merge farm","Vas a fusionar las granjas"
"Merged project CANNOT be restored!","¡El proyecto fusionado NO PUEDE ser restaurado!"
"Are you ABSOLUTELY sure?","¿Estás ABSOLUTAMENTE seguro?"
"Save Changes","Guardar cambios"
"Timezone changed","Zona horaria modificada"
"Farm changed","Granja cambió"
"Farm.Settings.TagsDescription","Agrega tus etiquetas personalizadas para marcar a los mineros"
"Farm.Settings.RemoveDescription1","Al eliminar el proyecto se eliminará su repositorio y todos los recursos relacionados, incluidos los problemas, las solicitudes de fusión, etc."
"Farm.Settings.RemoveDescription2","¡Los proyectos eliminados no se pueden restaurar!"
"Farm Title","Título de granja"
"Remove Farm","Eliminar granja"
"Question.ChangeFarmOwner","¿Cambiar propietario de la granja?"
"ChangeOwnership","para cambiar la propiedad a"
"Leave Farm","dejar granja"
"Settings.LeaveFarm","Después de esto ya no tendrás acceso a esta granja"
"RemoveFarmAccess","para eliminar el acceso a la granja"
"Question.RemoveAccess","¿Desea eliminar su acceso?"
"Question.RemoveFarm","¿Desea eliminar la granja?"
"Question.LeaveFarm","¿Quieres salir de la granja?"
"Farm.Setting.FarmHashDescription1","Farm hash se usa para conectar minerio a la granja sin pre-tratarlo en la web."
"Farm.Setting.FarmHashDescription2","Solo configúralo"
"Farm.Setting.FarmHashDescription3","antes de la primera ejecución."
"More details","Más detalles"
"Farm Hash","Velocidad de la Granja"
"Transfer farm","Transferir Granja"
"Farm.Setting.TransferDescription","Transferir granja a otro usuario. Ingrese el inicio de sesión del usuario existente que será el nuevo propietario de la granja."
"No wallets found so far.","No se encontraron cartera hasta ahora."
"FlightSheetForm.NamePlaceholder","Ingrese el nombre de la hoja de vuelo"
"FSFormItem.DcriHelp","Decred/Siacoin/Lbry/Pascal intensidad. El valor predeterminado es 30. Para PASC, el valor razonable es alrededor de 10, para SIA es alrededor de 15. Los valores más altos provocarán un menú desplegable en la extracción de ETH."
"PoolConfigModal.Advanced","Configuracion avanzada"
"PoolConfigModal.AdvancedHint","<strong>Ten cuidado.</strong> Cada url debe ser una nueva línea."
"PoolConfigModal.PoolUrls","Ingres URL"
"FS.ConfiguredInMiner","Configurado en minero"
"AutoFan","Ventilador auto"
"Token","Token"
"PageNotFound","Lo sentimos, esta página no existe"
"ConfirmPassword.Message","Introduzca la nueva contraseña y el token que se envio a su correo electrónico"
"Ethminer.OpenCLCudaHint","Elija la plataforma GPU para usar. Tenga en cuenta que el uso de OpenCL y CUDA juntos puede fallar. Intenta usar <code>--opencl-platform 1</code> o <code>0</code> en Parametros adicionales para que funcione."
"AllRedTemps.Hint","La temperatura se tiñe de rojo por encima de estos valores"
"RedTemp.Hint","La temperatura será de color rojo por encima de este valor"
"AutoFans.NoAMD","No controle las tarjetas AMD, solo Nvidia"
"AutoFans.Info","Habilitar el control de ventiladores. Mantendrá la GPU cerca de la temperatura objetivo. La minería se detendrá en la temperatura crítica. No se olvide de desactivar el control del ventilador en la minera de tarjetas de AMD."
"RadeonCardFrom.coreState.text3","o 'Nivel de potencia' del núcleo de la GPU. Para tarjetas RX es un valor de"
"RadeonCardFrom.AggressiveUndervolting","Undervolting agresivo (establece OC para cada estado de DPM)"
"Settings.VPN","VPN no se puede cambiar ahora mismo. El comando se está ejecutando"
"VPN.HelpInfo","Los archivos se nombrarán como los siguientes, de modo que los certificados en client.conf se denominarán ca.crt, client.crt, client.key. También puede incrustar certificados en client.conf y cargar solo un archivo."
"Required filed","Campo requerido"
"Promocode","Código promocional"
"GPU","GPU"
"ASICS","ASICS"
"Account Login","Cuenta de Ingreso"
"Password changed","contraseña cambiada"
"Settings.transferTargetText","Ya ha enviado una solicitud de transferencia a"
"FarmTempHeader.GPUCriticalTemperature","Temperatura crítica de la GPU"
"Account.AuthenticationTwoFactor1","RESPALDA ESTE CÓDIGO. La mejor manera es hacer una captura de pantalla e imprimirlo."
"Account.AuthenticationTwoFactor2","Si pierde el código, no podrá restaurar el acceso a la cuenta si pierde el dispositivo de autenticación (su teléfono)."
"SelectAmd","Seleccione la tarjeta AMD"
"Activity","Actividad"
"Access","Acceso"
"Settings","Configuraciones"
"Unsubscribe","Darse de baja"
"File shouldn't be empty","El archivo no debe estar vacío"
"TheLatestActivity","La última actividad"
"Referal.EnterPromocode","Tu código de promoción creativo aquí"
"FlightSheetFrom.AddMiner","Si necesita ejecutar varios mineros"
"Settings.NotificationSubscribe","Usted no está suscrito."
